                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6341,                 2.7045,                 2.1918,                 3.5421,                 3.0721,                 1.7414,                0.12002,                0.11445,                0.07166,                0.02061,                 3.1913,                 2.5987,                 1.9163,                  3.152,                 3.2082,                 1.5773,               0.066723,             3.3311e-05,             3.3311e-05
                      2,                 3.0145,                  2.177,                 1.8165,                 3.0636,                 2.5296,                   1.51,                0.25048,                0.17531,                0.12834,                0.04575,                 2.8288,                 2.0845,                 1.7003,                 2.8829,                 2.4011,                 1.4331,               0.033421,             6.5325e-05,             6.5325e-05
                      3,                 2.7644,                 1.9441,                 1.6894,                 2.8725,                 2.3284,                 1.4295,                0.23206,                0.21003,                0.15321,                 0.0577,                 2.6255,                 1.8947,                 1.6231,                 2.7374,                 2.2777,                  1.378,             0.00011857,             9.6018e-05,             9.6018e-05
                      4,                 2.5928,                 1.8092,                  1.608,                 2.7475,                 2.2258,                 1.3737,                0.25367,                0.23225,                  0.174,                0.06836,                 2.4892,                 1.7928,                 1.5431,                  2.653,                 2.1876,                 1.3285,              9.406e-05,              9.406e-05,              9.406e-05
                      5,                 2.4841,                 1.7371,                 1.5546,                 2.6685,                 2.1598,                 1.3397,                0.25635,                0.23971,                0.18938,                0.07761,                 2.4141,                 1.7298,                 1.4935,                 2.6092,                 2.1558,                 1.3021,              9.406e-05,              9.406e-05,              9.406e-05
                      6,                 2.3987,                  1.672,                 1.5086,                 2.6138,                 2.1028,                 1.3169,                0.28454,                0.25495,                0.20598,                0.08464,                 2.3065,                 1.6532,                 1.4569,                 2.5332,                 2.0782,                 1.2874,              9.208e-05,              9.208e-05,              9.208e-05
                      7,                 2.3195,                 1.6034,                 1.4725,                  2.554,                 2.0455,                 1.2998,                0.30158,                 0.2739,                0.22002,                0.09506,                 2.2546,                  1.601,                 1.4314,                 2.4764,                 2.0418,                 1.2688,               9.01e-05,               9.01e-05,               9.01e-05
                      8,                  2.281,                 1.5751,                 1.4441,                 2.5186,                 2.0145,                 1.2813,                0.30874,                0.26497,                 0.2251,                0.09773,                 2.2213,                 1.6064,                 1.3979,                 2.4809,                 2.0602,                 1.2582,              8.812e-05,              8.812e-05,              8.812e-05
                      9,                 2.2213,                 1.5316,                 1.4145,                 2.4934,                 1.9844,                 1.2654,                0.34098,                0.27907,                0.24336,                0.11022,                 2.1433,                 1.5235,                  1.373,                 2.3954,                 1.9723,                 1.2341,              8.614e-05,              8.614e-05,              8.614e-05
                     10,                 2.1807,                 1.5089,                 1.3973,                 2.4502,                 1.9549,                 1.2535,                0.33904,                 0.2824,                0.25112,                0.11312,                 2.1298,                  1.497,                 1.3588,                 2.4093,                 1.9509,                 1.2253,              8.416e-05,              8.416e-05,              8.416e-05
                     11,                 2.1416,                 1.4773,                 1.3772,                 2.4254,                 1.9218,                 1.2416,                0.34863,                0.29448,                0.26124,                0.12032,                 2.0847,                 1.4795,                 1.3462,                  2.357,                  1.943,                 1.2161,              8.218e-05,              8.218e-05,              8.218e-05
                     12,                 2.1114,                 1.4537,                 1.3588,                  2.403,                 1.8971,                 1.2309,                0.35527,                0.29733,                0.26251,                0.12267,                 2.0616,                 1.4462,                 1.3269,                  2.342,                 1.8921,                 1.2088,               8.02e-05,               8.02e-05,               8.02e-05
                     13,                 2.0626,                 1.4237,                 1.3383,                 2.3805,                 1.8736,                 1.2193,                0.35446,                0.30781,                0.27309,                0.12641,                 2.0329,                 1.4343,                 1.3184,                 2.3246,                 1.8865,                 1.2019,              7.822e-05,              7.822e-05,              7.822e-05
                     14,                 2.0593,                 1.4044,                 1.3357,                 2.3716,                 1.8601,                  1.217,                0.34348,                0.31295,                0.27438,                0.12793,                  2.024,                 1.4224,                 1.3049,                 2.3211,                 1.8796,                 1.2005,              7.624e-05,              7.624e-05,              7.624e-05
                     15,                  2.034,                 1.3897,                 1.3185,                 2.3463,                 1.8472,                 1.2046,                0.34529,                0.31294,                0.27357,                0.12615,                 2.0107,                  1.415,                 1.2983,                 2.3171,                  1.887,                 1.1875,              7.426e-05,              7.426e-05,              7.426e-05
                     16,                 2.0044,                 1.3625,                 1.3071,                 2.3284,                 1.8173,                 1.1978,                0.37468,                0.31675,                0.28417,                0.13572,                 1.9729,                 1.3657,                 1.2872,                 2.2823,                 1.8337,                 1.1809,              7.228e-05,              7.228e-05,              7.228e-05
                     17,                 1.9941,                 1.3655,                 1.2994,                 2.3156,                 1.8079,                 1.1926,                0.37593,                 0.3199,                 0.2904,                0.13718,                 1.9589,                 1.3695,                 1.2741,                 2.2677,                 1.8407,                 1.1766,               7.03e-05,               7.03e-05,               7.03e-05
                     18,                 1.9741,                 1.3386,                 1.2896,                 2.3035,                 1.7848,                  1.187,                0.38455,                0.32186,                0.29933,                 0.1415,                 1.9446,                 1.3404,                 1.2649,                 2.2679,                 1.7939,                 1.1678,              6.832e-05,              6.832e-05,              6.832e-05
                     19,                 1.9682,                 1.3318,                 1.2836,                 2.2996,                 1.7843,                 1.1861,                0.39166,                0.32243,                0.29798,                  0.144,                 1.9352,                 1.3388,                 1.2583,                 2.2602,                 1.8025,                 1.1684,              6.634e-05,              6.634e-05,              6.634e-05
                     20,                 1.9348,                  1.311,                 1.2707,                 2.2883,                 1.7675,                 1.1792,                0.39346,                0.33299,                0.30688,                0.14762,                  1.916,                 1.3175,                 1.2536,                 2.2417,                 1.7782,                 1.1674,              6.436e-05,              6.436e-05,              6.436e-05
                     21,                 1.9286,                  1.306,                 1.2721,                 2.2854,                 1.7639,                 1.1808,                0.39789,                0.33296,                0.31146,                0.15104,                 1.9029,                 1.3144,                 1.2477,                 2.2514,                 1.7779,                 1.1618,              6.238e-05,              6.238e-05,              6.238e-05
                     22,                 1.9155,                 1.2894,                 1.2602,                  2.272,                 1.7449,                 1.1706,                0.38262,                0.34622,                0.31565,                0.15137,                 1.8979,                 1.2937,                 1.2429,                 2.2206,                 1.7582,                 1.1558,               6.04e-05,               6.04e-05,               6.04e-05
                     23,                 1.8986,                 1.2781,                 1.2521,                 2.2618,                 1.7355,                 1.1649,                0.38541,                0.34452,                0.31435,                0.15161,                 1.8825,                 1.2981,                 1.2413,                 2.2227,                 1.7649,                 1.1555,              5.842e-05,              5.842e-05,              5.842e-05
                     24,                 1.8904,                 1.2668,                 1.2473,                 2.2533,                 1.7289,                 1.1631,                0.40599,                0.34005,                0.31953,                0.15616,                 1.8551,                 1.2736,                 1.2311,                  2.198,                 1.7443,                 1.1506,              5.644e-05,              5.644e-05,              5.644e-05
                     25,                 1.8608,                  1.247,                 1.2398,                 2.2294,                 1.7131,                 1.1587,                0.41426,                0.34263,                0.32284,                0.15926,                 1.8561,                 1.2764,                 1.2325,                 2.1922,                 1.7427,                 1.1482,              5.446e-05,              5.446e-05,              5.446e-05
                     26,                 1.8636,                 1.2438,                 1.2348,                 2.2369,                 1.7062,                 1.1556,                0.40555,                0.34651,                0.32268,                0.15798,                 1.8514,                 1.2591,                 1.2287,                 2.1925,                 1.7138,                 1.1517,              5.248e-05,              5.248e-05,              5.248e-05
                     27,                  1.845,                 1.2378,                 1.2356,                 2.2178,                 1.6999,                 1.1566,                0.40475,                0.35196,                0.32783,                0.16197,                 1.8371,                 1.2637,                 1.2195,                  2.188,                 1.7203,                 1.1442,               5.05e-05,               5.05e-05,               5.05e-05
                     28,                 1.8337,                 1.2241,                 1.2301,                 2.2044,                 1.6807,                  1.152,                0.42834,                0.35254,                0.33398,                0.16503,                 1.8227,                 1.2588,                 1.2155,                 2.1584,                 1.7217,                 1.1387,              4.852e-05,              4.852e-05,              4.852e-05
                     29,                 1.8434,                 1.2234,                 1.2221,                  2.227,                 1.6827,                 1.1477,                0.41483,                0.34977,                0.32829,                0.16342,                 1.8257,                 1.2579,                  1.215,                 2.1749,                 1.7316,                 1.1401,              4.654e-05,              4.654e-05,              4.654e-05
                     30,                  1.823,                 1.2097,                 1.2189,                 2.2073,                 1.6724,                 1.1446,                0.42579,                0.35328,                0.33625,                0.16507,                 1.8198,                 1.2484,                 1.2128,                 2.1777,                 1.7067,                 1.1392,              4.456e-05,              4.456e-05,              4.456e-05
                     31,                 1.8028,                 1.1978,                 1.2108,                 2.1916,                 1.6652,                 1.1422,                0.43931,                0.35143,                 0.3414,                0.16979,                 1.8153,                 1.2359,                 1.2079,                 2.1721,                 1.6939,                 1.1371,              4.258e-05,              4.258e-05,              4.258e-05
                     32,                 1.8184,                 1.2033,                 1.2163,                 2.2027,                 1.6681,                 1.1449,                0.43751,                0.35267,                0.34153,                0.16873,                 1.8067,                 1.2418,                 1.2096,                 2.1586,                 1.6926,                 1.1345,               4.06e-05,               4.06e-05,               4.06e-05
                     33,                 1.8052,                 1.2007,                 1.2113,                 2.1913,                 1.6618,                 1.1399,                0.42669,                0.35245,                0.33936,                0.16881,                 1.7951,                 1.2142,                 1.1979,                 2.1584,                 1.6833,                 1.1307,              3.862e-05,              3.862e-05,              3.862e-05
                     34,                 1.7885,                 1.1863,                 1.2093,                 2.1661,                 1.6478,                 1.1404,                0.42776,                0.35548,                0.34317,                0.17188,                 1.7888,                 1.2133,                  1.194,                 2.1467,                 1.6704,                 1.1264,              3.664e-05,              3.664e-05,              3.664e-05
                     35,                 1.7724,                 1.1752,                 1.1974,                 2.1776,                 1.6359,                 1.1343,                0.43318,                0.35785,                0.34604,                0.17185,                 1.7864,                 1.2033,                 1.1914,                  2.154,                 1.6637,                 1.1281,              3.466e-05,              3.466e-05,              3.466e-05
                     36,                  1.777,                 1.1713,                 1.1938,                 2.1789,                 1.6313,                 1.1299,                0.43617,                0.35517,                0.34311,                0.17289,                 1.7752,                 1.2022,                 1.1914,                 2.1414,                  1.668,                 1.1289,              3.268e-05,              3.268e-05,              3.268e-05
                     37,                 1.7732,                 1.1705,                 1.2004,                 2.1691,                 1.6328,                 1.1339,                0.45128,                0.35611,                0.34952,                0.17652,                 1.7675,                  1.189,                 1.1919,                 2.1312,                 1.6471,                 1.1246,               3.07e-05,               3.07e-05,               3.07e-05
                     38,                 1.7657,                 1.1621,                 1.1919,                 2.1736,                 1.6252,                 1.1289,                0.43997,                0.36406,                0.35199,                0.17695,                 1.7687,                  1.193,                 1.1887,                 2.1408,                 1.6547,                 1.1229,              2.872e-05,              2.872e-05,              2.872e-05
                     39,                 1.7672,                 1.1704,                 1.1927,                 2.1705,                   1.63,                 1.1287,                0.44468,                 0.3644,                0.35097,                0.17577,                 1.7614,                 1.1877,                 1.1842,                 2.1307,                 1.6503,                 1.1238,              2.674e-05,              2.674e-05,              2.674e-05
                     40,                 1.7574,                 1.1612,                 1.1955,                 2.1516,                 1.6277,                 1.1309,                0.45041,                0.36303,                0.35351,                0.17714,                 1.7572,                 1.1813,                 1.1842,                  2.119,                 1.6378,                 1.1217,              2.476e-05,              2.476e-05,              2.476e-05
                     41,                 1.7442,                 1.1797,                 1.1694,                 2.1328,                 1.6168,                 1.1152,                0.43346,                0.35965,                0.34818,                0.17327,                 1.7755,                 1.2163,                 1.1877,                 2.1457,                 1.6624,                 1.1289,              2.278e-05,              2.278e-05,              2.278e-05
                     42,                 1.7264,                 1.1504,                  1.165,                 2.1076,                 1.6035,                 1.1101,                0.43232,                0.36227,                0.34735,                0.17447,                 1.7689,                 1.2079,                 1.1839,                 2.1379,                 1.6728,                 1.1244,               2.08e-05,               2.08e-05,               2.08e-05
                     43,                 1.7207,                 1.1394,                 1.1602,                 2.1109,                  1.596,                 1.1079,                0.44473,                0.36186,                0.35178,                 0.1768,                 1.7603,                 1.1948,                 1.1766,                 2.1303,                 1.6578,                 1.1184,              1.882e-05,              1.882e-05,              1.882e-05
                     44,                 1.7063,                 1.1274,                 1.1573,                 2.0979,                 1.5812,                 1.1068,                0.43609,                0.36347,                0.35036,                0.17636,                 1.7622,                 1.2023,                 1.1816,                 2.1284,                 1.6655,                  1.123,              1.684e-05,              1.684e-05,              1.684e-05
                     45,                 1.7117,                 1.1369,                 1.1588,                 2.0929,                 1.5889,                  1.106,                 0.4442,                0.36777,                0.35181,                0.17724,                 1.7549,                 1.1884,                 1.1748,                 2.1247,                 1.6511,                  1.118,              1.486e-05,              1.486e-05,              1.486e-05
                     46,                 1.7073,                 1.1326,                 1.1571,                 2.0944,                 1.5848,                 1.1029,                0.44788,                0.36328,                0.35328,                0.17826,                 1.7525,                 1.1836,                 1.1762,                 2.1233,                 1.6419,                 1.1171,              1.288e-05,              1.288e-05,              1.288e-05
                     47,                 1.6987,                 1.1268,                 1.1503,                 2.0929,                 1.5755,                 1.1005,                0.44692,                0.36074,                0.35182,                0.17687,                 1.7562,                 1.1907,                  1.179,                 2.1292,                 1.6455,                 1.1206,               1.09e-05,               1.09e-05,               1.09e-05
                     48,                 1.6962,                 1.1232,                 1.1528,                 2.0793,                 1.5704,                 1.1032,                0.44161,                0.36253,                0.35283,                0.17821,                 1.7492,                 1.1796,                 1.1726,                  2.118,                 1.6397,                 1.1159,               8.92e-06,               8.92e-06,               8.92e-06
                     49,                 1.6902,                 1.1114,                 1.1507,                 2.0858,                 1.5639,                  1.102,                0.44106,                 0.3653,                0.35392,                0.17868,                 1.7502,                 1.1752,                 1.1731,                 2.1183,                 1.6375,                 1.1163,               6.94e-06,               6.94e-06,               6.94e-06
                     50,                 1.6862,                 1.1112,                   1.15,                 2.0805,                  1.559,                  1.101,                0.44202,                0.36453,                0.35348,                0.17779,                 1.7484,                 1.1769,                 1.1737,                 2.1269,                 1.6389,                 1.1191,               4.96e-06,               4.96e-06,               4.96e-06
